name,sample rate,start time,file name
H1167L,0,0, 
H1168R,10000,0.000082,/media/seth/Test_Data/H1168R/DTDIC/MinPStrain_Accurate/B00001.txt
H1260R,0,0.00001, Have this one
H1261R,0,0, 
H1262R,0,0, 
H1264L,9501,0.000077,/media/seth/Test_Data/H1264L/DTDIC/MinPStrain_accurate/B00001.txt
H1266L,0,0, 
H1267R,0,0,
H1268L,9501,-0.166189,/media/seth/Test_Data/H1268L/DTDIC/MinPStrain_Accurate/B00001.txt
H1365R,10000,0.000021,/media/seth/Test_Data/H1365R/DTDIC/MinPStrain_Accurate/B00001.txt
H1366R,10000,0.021899,/media/seth/Test_Data/H1366R/DTDIC/H1366R_MinPStrain_Accurate/B00001.txt
H1367R,0,0, 
H1368R,10000,0.000085,/media/seth/Test_Data/H1368R/DTDIC/MinPStrain_Accurate/B00001.txt
H1369L,9501,0.000097,/media/seth/Test_Data/H1369L/DTDIC/MinPStrain_Accurate/B00001.txt
H1370R,0,0, 
H1372R,10000,0.000049,/media/seth/Test_Data/H1372R/DTDIC/MinPStrain_accurate/B00001.txt
H1373R,10000,0.000046,/media/seth/Test_Data/H1373R/DTDIC/MinPStrain_accurate/B00001.txt
H1374R,10000,0.0001,/media/seth/Test_Data/H1374R/DTDIC/MinPStrain_accurate/B00001.txt
H1375L,10000,0.000032,/media/seth/Test_Data/H1375L/DTDIC/MinPStrain_accurate/B00001.txt
H1376L,10000,0.0001,/media/seth/Test_Data/H1376L/DTDIC/MinPStrain_accurate/B00001.txt
H1377R,10169,0.000019,/media/seth/Test_Data/H1377R/DTDIC/MinPStrain_accurate/B00001.txt
H1380R,10000,0.000001,/media/seth/Test_Data/H1380R/DTDIC/MinPStrain_accurate/B00001.txt
H1381R,10000,0.000048,/media/seth/Test_Data/H1381R/DTDIC/MinPStrain_accurate/B00001.txt
H1382L,10000,0.000072,/media/seth/Test_Data/H1382L/DTDIC/MinPStrain_accurate/B00001.txt
