name,sample rate,filter cutoff,start time,file name
H1167L,9216,500,0.000067,/media/seth/Test_Data/H1167L/SignalAsciiData/DT_H1167L_TEMA_Displacement.txt
H1168R,9216,500,0.000073,/media/seth/Test_Data/H1168R/SignalAsciiData/DT_H1168R_TEMA_Displacement.txt
H1260R,0,0,0, 
H1261R,0,0,0, 
H1262R,9216,500,0.000097,/media/seth/Test_Data/H1262R/SignalAsciiData/DT_H1262R_TEMA_Displacement.txt
H1264L,9216,500,0.000021,/media/seth/Test_Data/H1264L/SignalAsciiData/DT_H1264L_TEMA_Displacement.txt
H1266L,9216,500,0.00009,/media/seth/Test_Data/H1266L/SignalAsciiData/DT_H1266L_TEMA_Displacement.txt
H1267R,0,0,0, 
H1268L,9216,500,-0.145319,/media/seth/Test_Data/H1268L/SignalAsciiData/DT_H1268L_TEMA_Displacement.txt
H1365R,9216,500,0.000084,/media/seth/Test_Data/H1365R/SignalAsciiData/DT_H1365R_TEMA_Displacement.txt
H1366R,9216,500,0.000105,/media/seth/Test_Data/H1366R/SignalAsciiData/DT_H1366R_TEMA_Displacement.txt
H1367R,0,0,0, 
H1368R,9216,500,0.000017,/media/seth/Test_Data/H1368R/SignalAsciiData/DT_H1368R_TEMA_Displacement.txt
H1369L,9216,500,0.021731,/media/seth/Test_Data/H1369L/SignalAsciiData/DT_H1369L_TEMA_Displacement.txt
H1370R,0,0,0, 
H1372R,9216,500,0.000072,/media/seth/Test_Data/H1372R/SignalAsciiData/DT_H1372R_TEMA_Displacement.txt
H1373R,9216,500,0.000034,/media/seth/Test_Data/H1373R/SignalAsciiData/DT_H1373R_TEMA_Displacement.txt
H1374R,9216,500,0.00008,/media/seth/Test_Data/H1374R/SignalAsciiData/DT_H1374R_TEMA_Displacement.txt
H1375L,9216,500,0.000074,/media/seth/Test_Data/H1375L/SignalAsciiData/DT_H1375L_TEMA_Displacement.txt
H1376L,9216,500,0.000017,/media/seth/Test_Data/H1375L/SignalAsciiData/DT_H1375L_TEMA_Displacement.txt
H1377R,9216,500,0.000051,/media/seth/Test_Data/H1377R/SignalAsciiData/DT_H1377R_TEMA_Displacement.txt
H1380R,9216,500,0.000109,/media/seth/Test_Data/H1380R/SignalAsciiData/DT_H1380R_TEMA_Displacement.txt
H1381R,9216,500,0.000017,/media/seth/Test_Data/H1381R/SignalAsciiData/DT_H1381R_TEMA_Displacement.txt
H1382L,9216,500,0.0001,/media/seth/Test_Data/H1382L/SignalAsciiData/DT_H1382L_TEMA_Displacement.txt
